
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
931AS-4R7M                       L4                                77   1   2   2   1 2      2 0 OUTD                454657
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
2030                             SO1                               64   1   1   1   1 1      1 0 GND                 888833
2030                             SO2                               63   1   1   1   1 1      1 0 GND                 888833
2030                             SO3                               62   1   1   1   1 1      1 0 GND                 888833
2030                             SO4                               61   1   1   1   1 1      1 0 GND                 888833
2030                             SO5                               60   1   1   1   1 1      1 0 GND                 888833
2030                             SO6                               59   1   1   1   1 1      1 0 GND                 888833
5001                             G1                                58   1   1   1   1 1      1 0 GND                 888833
5001                             G2                                57   1   1   1   1 1      1 0 GND                 888833
5001                             G3                                56   1   1   1   1 1      1 0 GND                 888833
5001                             G4                                55   1   1   1   1 1      1 0 GND                 888833
5003                             /FAULT                            41   1   1   1   1 1      1 0 FAULT~              770049
5003                             /OTW                              42   1   1   1   1 1      1 0 OTW~                765953
5003                             /RESET_AB                         39   1   1   1   1 1      1 0 RESET_AB~           897025
5003                             /RESET_CD                         36   1   1   1   1 1      1 0 RESET_CD~           880641
5003                             OUTA                              46   1   1   1   1 1      1 0 OUTA                442369
5003                             OUTB                              45   1   1   1   1 1      1 0 OUTB                446465
5003                             OUTC                              44   1   1   1   1 1      1 0 OUTC                450561
5003                             OUTD                              43   1   1   1   1 1      1 0 OUTD                454657
5003                             OUT_A                             34   1   1   1   1 1      1 0 OUT_A               434177
5003                             OUT_B                             33   1   1   1   1 1      1 0 OUT_B               438273
5003                             OUT_C                             32   1   1   1   1 1      1 0 OUT_C               360449
5003                             OUT_D                             31   1   1   1   1 1      1 0 OUT_D               352257
5003                             PWMA                              40   1   1   1   1 1      1 0 PWM_A               131073
5003                             PWMB                              38   1   1   1   1 1      1 0 PWM_B               118785
5003                             PWMC                              37   1   1   1   1 1      1 0 PWM_C               122881
5003                             PWMD                              35   1   1   1   1 1      1 0 PWM_D               126977
